Song,Lyrics
Stay Stay Stay (Taylor's Version),"[Verse 1]
I'm pretty sure we almost broke up last night
I threw my phone across the room at you
I was expecting some dramatic turn away
But you stayed
This morning, I said we should talk about it
'Cause I read you should never leave a fight unresolved
That's when you came in wearing a football helmet
And said, ""Okay, let's talk
""
[Chorus]
And I said, ""Stay, stay, stay""
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay
[Verse 2]
Before you, I'd only dated self-indulgent takers
Who took all of their problems out on me
But you carry my groceries and now I'm always laughing
And I love you because you have given me
[Chorus]
No choice but to stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay, stay, stay, stay
[Bridge]
You took the time to memorize me
My fears, my hopes and dreams
I just like hanging out with you
All the time
All those times that you didn't leave
It's been occurring to me
I'd like to hang out with you
For my whole life
[Chorus]
Stay
And I'll be loving you for quite some time
No one else is gonna love me when I get mad, mad, mad
So I think that it's best if we both stay, stay, stay, stay, stay, stay
Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay, stay, stay, stay, stay, stay
Stay, stay, stay
I've been loving you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay
[Outro]
That's so fun"
Style (Taylor's Version),"[Verse 1]
Midnight
You come and pick me up, no headlights
Long drive
Could end in burnin' flames or paradise
Fade into view, oh
It's been a while since I have even heard from you
(Heard from you)
[Pre-Chorus]
I should just tell you to leave 'cause I
Know exactly where it leads, but I
Watch us go 'round and 'round each time
[Chorus]
You got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashin' down, we come back every time
'Cause we nеver go out of style, we nеver go out of style
You got that long hair, slicked back, white T-shirt
And I got that good girl faith and a tight little skirt
And when we go crashin' down, we come back every time
'Cause we never go out of style, we never go out of style
[Verse 2]
So it goes
He can't keep his wild eyes on the road, mm
Takes me home
Lights are off, he's taking off his coat, oh, yeah
I say, ""I heard, oh
That you've been out and about with some other girl""
Some other girl
[Pre-Chorus]
He says, ""What you heard is true, but I
Can't stop thinkin' 'bout you,"" and I
I said, ""I've been there too a few times""
[Chorus]
'Cause you got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashin' down, we come back every time
'Cause we never go out of style, we never go out of style
You got that long hair, slicked back, white T-shirt
And I got that good girl faith and a tight little skirt (A tight little skirt)
And when we go crashin' down, we come back every time
'Cause we never go out of style (We never go, we never go), we never go out of style
[Bridge]
Take me home (Ah)
Just take me home (Ah)
Yeah, just take me home (Ah)
Woah, woah, oh (Out of style)
[Chorus]
Oh, 'cause you got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashin' down (And when we go), we come back every time
'Cause we never go out of style, we never go out of style"
Suburban Legends (Taylor's Version) (From The Vault),"[Verse 1]
You had people who called you on unmarked numbers
In my peripheral vision
I let it slide like a hose on a slippery plastic summer
All was quickly forgiven
You were so magnetic, it was almost obnoxious
Flush with the currency of cool
I was always turnin' out my empty pockets
And when it came to you
[Chorus]
I didn't come here to make friends
We were born to be suburban legends
When you hold me, it holds me together
And you kiss me in a way that's gonna screw me up forever
[Verse 2]
I had the fantasy that maybe our mismatched star signs
Would surprise the whole school
When I ended up back at our class reunion
Walkin' in with you
You'd be more than a chapter in my old diaries
With the pages ripped out
I am standin' in a 1950s gymnasium
And I can still see you now
[Chorus]
I didn't come here to make friends
We were born to be suburban legends
When you hold me, it holds me together
And you kiss me in a way that's gonna screw me up forever
I know that you still remember
We were born to be national treasures
When you told me we'd get back together
And 
you kissed me in a way that's gonna screw me up forever
[Outro]
Tick-tock on the clock, I pace down your block
I broke my own heart 'cause you were too polite to do it
Waves crash on the shore, I dash to the door
You don't knock anymore and my whole life's ruined
Tick-tock on the clock, I pace down your block
I broke my own heart 'cause you were too polite to do it
Waves crash to the shore, I dash to the door
You don't knock anymore and 
I always knew it
That my life would be ruined"
Superman (Taylor’s Version),"[Verse 1]
Tall, dark, and superman
He puts papers in his briefcase and drives away
To save the world or go to work
It's the same thing to me
He's got his mother's eyes, his father's ambition
I wonder if he knows how much that I miss him
I hang on every word you say
And you smile and say, ""How are you?”
And I'll say, ""Just fine""
I always forget to tell you, ""I love you""
I love you forever
[Chorus]
I watch Superman fly away
You've got a busy day today
Go save the world, I'll be around
And I watch Superman fly away
Come back, I'll be with you someday
I'll be right here on the ground
When you come back down
[Verse 2]
Tall, dark and beautiful
He's complicated, he's irrational
But I hope someday you'll take me away, and save the day, yeah
Something in his deep brown eyes has me sayin'
He's not all bad like his reputation
And I can't hear one single word they say
And you'll leave, got places to be, and I'll be okay
I always forget to tell you, ""I love you""
I loved you from the very first day
[Chorus]
I watch Superman fly away
You've got a busy day today
Go save the world, I'll be around
And I watch Superman fly away
Come back, I'll be with you someday
I'll be right here on the ground
When you come back down
[Bridge]
And I watch you fly around the world
And I hope you don't save some other girl
Don't forget, don't forget about me
I'm far away, but I never let you go
I'm love-struck and looking out the window
Don't forget, don't forget where I'll be
[Breakdown]
Right here, wishing the flowers were from you
Wishing the card was from you
Wishing the call was from you
'Cause I loved you from the very first day
[Chorus]
I watch Superman fly away
You've got a busy day today
Go save the world, I'll be around
Forever and ever
And I watch Superman fly away
I swear, I'll be with you someday
I'll be right here on the ground
When you come back down
[Outro]
La, la, la, la, la, la
La, la, la, la, la, la
When you come back down"
Sweet Nothing,"[Verse 1]
I spy with my little tired eye
Tiny as a firefly
A pebble that we picked up last July
Down deep inside your pocket
We almost forgot it
Does it ever miss Wicklow sometimes?
Ooh, ooh
[Chorus]
They said the end is comin'
Everyone’s up to somethin'
I find myself runnin' home to your sweet nothings
Outside, they’re push and shovin'
You're in the kitchen hummin'
All that you ever wanted from me was sweet nothin'
[Verse 2]
On the way home
I wrote a poem
You say, ""What a mind""
This happens all the time
Ooh, ooh
[Chorus]
'Causе they said the end is comin'
Evеryone's up to somethin’
I find myself runnin’ home to your sweet nothings
Outside, they're push and shovin’
You're in the kitchen hummin'
All that you ever wanted from me was nothin'
[Bridge]
Industry disruptors and soul deconstructors
And smooth-talking hucksters out glad-handing each other
And the voices that implore, ""You should be doing more""
To you, I can admit that I’m just too soft for all of it
Ooh
[Chorus]
They said the end is comin'
Everyone's up to somethin'
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin'
You're in the kitchen hummin'
All that you ever wanted from me was sweet nothin'
They said the end is comin' (They said the end is comin')
Everyone's up to somethin' (Everyone's up to somethin')
I find myself runnin' home to your sweet nothings
Outside, they're push and shovin' (Outside, they're push and shovin')
You're in the kitchen hummin' (You're in the kitchen hummin')
All that you ever wanted from me was sweet nothin'"
The Alchemy,"[Verse 1]
This happens once every few lifetimes
These chemicals hit me like white wine
What if I told you I'm back?
The hospital was a drag
Worst sleep that I ever had
I circled you on a map
I haven't come around in so long
But I'm coming back so strong
[Chorus]
So when I touch down
Call the amateurs and cut 'em from the team
Ditch the clowns, get the crown
Baby, I'm the one to beat
'Cause the sign on your heart
Said it's still reserved for me
Honestly, who are we to fight thе alchemy?
[Verse 2]
Hey, you, what if I told you we'rе cool?
That child's play back in school
Is forgiven under my rule
I haven't come around in so long
But I'm making a comeback to where I belong
[Chorus]
So when I touch down
Call the amateurs and cut 'em from the team
Ditch the clowns, get the crown
Baby, I'm the one to beat
'Cause the sign on your heart
Said it's still reserved for me
Honestly, who are we to fight the alchemy?
These blokes warm the benches
We've been on a winning streak
He jokes that it's heroin, but this time with an ""E""
'Cause the sign on your heart
Said it's still reserved for me
Honestly, who are we to fight the alchemy?
[Bridge]
Shirts off and your friends lift you up over their heads
Beer stickin' to the floor, 
cheers chanted 'cause they said
""There was no chance trying to be the greatest in the league""
Where's the trophy? He just comes runnin' over to me
[Chorus]
Touchdown
Call the amateurs and cut 'em from the team
Ditch the clowns, get the crown
Baby, I'm the one to beat
'Cause the sign on your heart
Said it's still reserved for me
Honestly, who are we to fight the alchemy?
These blokes warm the benches
We've been on a winning streak
He jokes that it's heroin, but this time with an ""E""
'Cause the sign on your heart
Said it's still reserved for me
Honestly, who are we to fight the alchemy?
[Outro]
This happens once every few lifetimes
These chemicals hit me like white wine"
The Archer,"[Verse 1]
Combat, I'm ready for combat
I say I don't want that, but what if I do?
'Cause cruelty wins in the movies
I've got a hundred thrown-out speeches I almost said to you
[Pre-Chorus]
Easy they come, easy they go
I jump from the train, I ride off alone
I never grew up, it's getting so old
Help me hold on to you
[Chorus]
I've been the archer, I've been the prey
Who could ever leave me, darling
But who could stay?
[Verse 2]
Dark side, I search for your dark side
But what if I'm alright, right, right, right here?
And I cut off my nose just to spite my face
Then I hate my reflection for years and years
[Pre-Chorus]
I wake in the night, I pace like a ghost
The room is on fire, invisible smoke
And all of my heroes die all alone
Help me hold on to you
[Chorus]
I've been the archer, I've been the prey
Screaming, who could ever leave me, darling
But who could stay?
(I see right through me, I see right through me)
[Bridge]
'Cause they see right through me
They see right through me
They see right through
Can you see right through me?
They see right through
They see right through me
I see right through me
I see right through me
[Pre-Chorus]
All the king's horses, all the king's men
Couldn't put me together again
'Cause all of my enemies started out friends
Help me hold on to you
[Chorus]
I've been the archer, I've been the prey
Who could ever leave me, darling
But who could stay?
(I see right through me, I see right through me)
Who could stay?
Who could stay?
Who could stay?
You could stay
You could stay
[Outro]
Combat, I'm ready for combat"
The Great War,"[Verse 1]
My knuckles were bruised like violets
Sucker punching walls, cursed you as I sleep-talked
Spineless in my tomb of silence
Tore your banners down, took the battle underground
And maybe it was egos swinging
Maybe it was her
Flashes of the battle come back to me in a blur
[Chorus]
All that bloodshed, crimson clover
Uh-huh, sweet dream was over
My hand was the one you reached for
All throughout the Great War
Always remember
Uh-huh, tears on the lеtter
I vowed not to cry anymore
If wе survived the Great War
[Verse 2]
You drew up some good faith treaties
I drew curtains closed, drank my poison all alone
You said I have to trust more freely
But diesel is desire, you were playing with fire
And maybe it's the past that's talking
Screaming from the crypt
Telling me to punish you for things you never did
So I justified it
[Chorus]
All that bloodshed, crimson clover
Uh-huh, the bombs were closer
My hand was the one you reached for
All throughout the Great War
Always remember
Uh-huh, the burning embers
I vowed not to fight anymore
If we survived the Great War
[Post-Chorus]
Uh-huh, uh-huh
[Bridge]
It turned into something bigger
Somewhere in the haze, got a sense I'd been betrayed
Your finger on my hairpin triggers
Soldier down on that icy ground
Looked up at me with honor and truth
Broken and blue, so I called off the troops
That was the night I nearly lost you
I really thought I'd lost you
[Verse 3]
We can plant a memory garden
Say a solemn prayer, place a poppy in my hair
There's no morning glory, it was war, it wasn't fair
And we will never go back
[Chorus]
To that bloodshed, crimson clover
Uh-huh, the worst was over
My hand was the one you reached for
All throughout the Great War
Always remember
Uh-huh, we're burned for better
I vowed I would always be yours
'Cause we survived the Great War
[Outro]
Uh-huh, uh-huh
I will always be yours
'Cause we survived the Great War
Uh-huh
I vow I will always be yours"
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),
The Lucky One (Taylor's Version),"[Verse 1]
New to town with a made-up name
In the angel's city, chasin' fortune and fame
And the camera flashes make it look like a dream
You had it figured out since you were in school
Everybody loves pretty, everybody loves cool
So overnight, you look like a '60s queen
[Pre-Chorus]
Another name goes up in lights
Like diamonds in the sky
[Chorus]
And they'll tell you now, you're the lucky one
Yeah, they'll tell you now, you're the lucky one
But can you tell me now, you're the lucky one?
Oh, oh, oh
[Verse 2]
And now, it's big black cars and Riviera views
And your lover in the foyer doesn't even know you
And your secrets end up splashed on the news front page
And they tell you that you're lucky, but you're so confused
'Cause you don't feel pretty, you just feel used
And all the young things line up to take your place
[Pre-Chorus]
Another name goes up in lights
You wonder if you'll make it out alive
[Chorus]
And they'll tell you now, you're the lucky one
Yeah, they'll tell you now, you're the lucky one
Can you tell me now, you're the lucky one?
Oh, oh, oh
Oh, oh, oh
[Verse 3]
It was a few years later, I showed up here
And they still tell the legend of how you disappeared
How you took the money and your dignity and got the hell out
They say you bought a bunch of land somewhere
Chose the rose garden over Madison Square
And it took some time, but I understand it now
[Pre-Chorus]
'Cause now my name is up in lights
But I think you got it right
[Chorus]
Let me tell you now, you're the lucky one
Let me tell you now, you're the lucky one
Let me tell you now, you're the lucky one
Oh, oh, oh
Yeah, they'll tell you now, you're the lucky one
Yeah, they'll tell you now, you're the lucky one
Let me tell you now, you're the lucky one
Oh, oh, oh
Oh, oh-woah, oh"
The Man,"[Verse 1]
I would be complex, I would be cool
They'd say I played the field before I found someone to commit to
And that would be okay for me to do
Every conquest I had made would make me more of a boss to you
[Pre-Chorus]
I’d be a fearless leader, I'd be an alpha type
When everyone believes ya, what's that like?
[Chorus]
I’m so sick of running as fast as I can
Wonderin' if I'd get there quicker if I was a man
And I'm so sick of them comin' at me again
'Cause if I was a man, then I'd be the man
I'd be the man (Man)
I’d be the man (Man)
[Verse 2]
They’d say I hustled, put in the work
They wouldn't shake their heads and question how much of this I deserve
What I was wearing, if I was rude
Could all be separated from my good ideas and power moves
[Pre-Chorus]
And they would toast to me, oh (Ayy), let the players play
I’d be just like Leo in Saint-Tropez
[Chorus]
I'm so sick of running as fast as I can
Wonderin' if I'd get there quicker if I was a man
And I’m so sick of them comin' at me again
'Cause if I was a man, then I'd be the man
I'd be the man (Man)
I'd be the man (Man)
[Bridge]
What's it like to brag about raking in dollars
And getting bitches and models?
And it's all good if you're bad
And it's okay if you're mad
If I was out flashin' my dollars
I'd be a bitch, not a baller
They'd paint me out to be bad
So it's okay that I'm mad
[Chorus]
I'm so sick of running as fast as I can
Wonderin' if I'd get there quicker if I was a man
 (You know that)
And I'm so sick of them comin' at me again (Comin' at me again)
'Cause if I was a man (If I was a man), then I'd be the man (Then I'd be the man)
I'm so sick of running as fast as I can (As fast as I can)
Wonderin' if I'd get there quicker if I was a man (Hey)
And I'm so sick of them comin' at me again (Comin' at me again)
'Cause if I was a man (If I was a man), then I'd be the man
I'd be the man (Man)
I'd be the man (Man, oh)
I'd be the man (Man, yeah)
I'd be the man (Man, I'd be the man)
[Outro]
If I was a man
Then I'd be the man"
The Moment I Knew (Taylor's Version),"[Verse 1]
You should've been there
Should've burst through the door
With that ""Baby, I'm right here"" smile
And it would've felt like
A million little shining stars that just align
And I would've been so happy
Christmas lights glisten
I've got my eye on the door
Just waitin' for you to walk in
But the time is tickin'
People ask me how I've been
As I comb back through my memory
How you said you'd be here
You said you'd be here
[Chorus]
And it was like slow motion
Standing there in my party dress
In red lipstick
With no one to impress
And they're all laughin'
As I'm lookin' around the room
But therе was one thing missin'
And that was the moment I knеw
[Verse 2]
And the hours pass by
Now I just wanna be alone
But your close friends always seem to know
When there's somethin' really wrong
So they follow me down the hall
And there in the bathroom
I try not to fall apart
And the sinking feelin' starts
As I say hopelessly
""He said he'd be here""
[Chorus]
And it was like slow motion
Standing there in my party dress
In red lipstick
With no one to impress
And they're all laughin'
And asking me about you
But there was one thing missin'
And that was the moment I knew
[Bridge]
What do you say
When tears are streaming down your face
In front of everyone you know?
And what do you do
When the one who means the most to you
Is the one who didn't show?
[Breakdown]
You should've been here
And I would've been so happy
[Chorus]
And it was like slow motion
Standing there in my party dress
In red lipstick
With no one to impress
And they're all standin' around me, singin'
""Happy birthday to you""
But there was one thing missin'
And that was the moment I knew
[Post-Chorus]
(Oh) Oh, I knew
(Oh)
[Outro]
You called me later
And said, ""I'm sorry I didn't make it""
And I said, ""I'm sorry too""
And that was the moment I knew"
The Smallest Man Who Ever Lived,"[Verse 1]
Was any of it true?
Gazing at me starry-eyed
In your Jehovah's Witness suit
Who the fuck was that guy?
You tried to buy some pills
From a friend of friends of mine
They just ghosted you
Now you know what it feels like
[Chorus]
And I don't even want you back, I just want to know
If rusting my sparkling summer was the goal
And I don't miss what we had, but could someone give
A message to the smallest man who ever lived?
[Verse 2]
You hung me on your wall
Stabbed me with your push pins
In public, showed me off
Then sank in stoned oblivion
'Cause once your queen had come
You'd treat her likе an also-ran
You didn't measure up
In any measurе of a man
[Chorus]
And I don't even want you back, I just want to know
If rusting my sparkling summer was the goal
And I don't miss what we had, but could someone give
A message to the smallest man who ever lived?
[Bridge]
Were you sent by someone who wanted me dead?
Did you sleep with a gun underneath our bed?
Were you writin' a book? Were you a sleeper cell spy?
In fifty years, will all this be declassified?
And you'll confess why you did it and I'll say, ""Good riddance""
'Cause it wasn't sexy once it wasn't forbidden
I would've died for your sins, instead, I just died inside
And you deserve prison
, but you won't get time
You'll slide into inboxes and slip through the bars
You crashed my party and your rental car
You said normal girls were boring
But you were gone by the morning
You kicked out the stage lights, but you're still performing
[Outro]
And in plain sight you hid
But you are what you did
And I'll forget you, but I'll never forgive
The smallest man who ever lived"
The Story Of Us (Taylor's Version),"[Verse 1]
I used to think one day we'd tell the story of us
How we met and the sparks flew instantly
And people would say, ""They’re the lucky ones""
I used to know my place was the spot next to you
Now I'm searchin' the room for an empty seat
’Cause lately I don't even know what page you're on
[Pre-Chorus]
Oh, a simple complication
Miscommunications lead to fallout
So many things that I wish you knew
So many walls up, I can't break through
[Chorus]
Now I'm standin' alone in a crowded room
And we're not speakin'
And I’m dyin’ to know, is it killin' you
Like it’s killin' me? Yeah
I don't know what to say since thе twist of fate
When it all broke down
And thе story of us looks a lot like a tragedy now
[Post-Chorus]
Next chapter
[Verse 2]
How'd we end up this way?
See me nervously pulling at my clothes and tryin’ to look busy
And you're doin' your best to avoid me
I'm starting to think one day I'll tell the story of us
How I was losin' my mind when I saw you here
But you held your pride like you should've held me
[Pre-Chorus]
Oh, I'm scared to see the ending
Why are we pretending this is nothin'?
I'd tell you I miss you, but I don't know how
I've never heard silence quite this loud
[Chorus]
Now I'm standin' alone in a crowded room
And we're not speakin'
And I'm dyin' to know, is it killin' you
Like it's killin' me? Yeah
I don't know what to say since the twist of fate
When it all broke down
And the story of us looks a lot like a tragedy now
[Bridge]
This is looking like a contest
Of who can act like they care less
But I liked it better when you were on my side
The battle's in your hands now
But I would lay my armor down
If you said you'd rather love than fight
[Pre-Chorus]
So many things that you wish I knew
But the story of us might be ending soon
[Chorus]
Now I'm standin' alone in a crowded room
And we're not speakin'
And I'm dyin' to know, is it killin' you
Like it's killin' me? Yeah
And I don't know what to say since the twist of fate
When it all broke down
And the story of us looks a lot like a tragedy now, now, now
And we're not speakin'
And I'm dyin' to know, is it killin' you
Like it's killin' me? Yeah
I don't know what to say since the twist of fate
'Cause we're goin' down
And the story of us looks a lot like a tragedy now
[Outro]
The end"
The Tortured Poets Department,"[Verse 1]
You left your typewriter at my apartment
Straight from the tortured poets department
I think some things I never say
Like, ""Who uses typewriters anyway?""
But you're in self-sabotage mode
Throwing spikes down on the road
But I've seen this episode and still loved the show
Who else decodes you?
[Chorus]
And who's gonna hold you like me?
And who's gonna know you, if not me?
I laughed in your face and said
""You're not Dylan Thomas, I'm not Patti Smith
This ain't the Chelsea Hotel, we'rе modern idiots""
And who's gonna hold you like me?
[Post-Chorus]
Nobody
No-fucking-body
Nobody
[Verse 2]
You smokеd, then ate seven bars of chocolate
We declared Charlie Puth should be a bigger artist
I scratch your head, you fall asleep
Like a tattooed golden retriever
But you awaken with dread
Pounding nails in your head
But I've read this one where you come undone
I chose this cyclone with you
[Chorus]
And who's gonna hold you like me?
(Who's gonna hold you? Who's gonna hold you?)
And who's gonna know you like me?
(Who's gonna know you?)
I laughed in your face and said
""You're not Dylan Thomas, I'm not Patti Smith
This ain't the Chelsea Hotel, we're modern idiots""
And who's gonna hold you like me?
(Who's gonna hold you? Who's gonna hold you?)
[Post-Chorus]
No-fucking-body
(Who's gonna hold you? Who's gonna hold you?)
Nobody
(Who's gonna hold you? Gonna know you? Gonna troll you?)
Nobody
[Bridge]
Sometimes, I wonder if you're gonna screw this up with me
But you told Lucy you'd kill yourself if I ever leave
And I had said that to Jack about you, so I felt seen
Everyone we know understands why it's meant to be
'Cause we're crazy
So tell me, who else is gonna know me?
At dinner, you take my ring off my middle finger
And put it on the one people put wedding rings on
And that's the closest I've come to my heart exploding
[Chorus]
Who's gonna hold you? (Who?)
Me
Who's gonna know you? (Who?)
Me
And you're not Dylan Thomas, I'm not Patti Smith
This ain't the Chelsea Hotel, we're two idiots
Who's gonna hold you?
[Post-Chorus]
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Who's gonna hold you?
Gonna know you? 
Gonna troll you?
[Outro]
You left your typewriter at my apartment
Straight from the tortured poets department
Who else decodes you?"
The Very First Night (Taylor's Version) (From The Vault),"[Chorus]
I wish I could fly
I'd pick you up and we'd go back in time
I'd write this in the sky
I miss you like it was the very first night
[Verse 1]
And so it goes
Every weekend, this same party
I never go alone
And I don't seem broken-hearted
My friends all say they know
Everything I'm going through
I drive down different roads
But they all lead back to you
[Pre-Chorus]
'Cause they don't know about the night in the hotel
They weren't ridin' in the car when we both fell
Didn't read the note on the Polaroid picture
They don't know how much I miss you
[Chorus]
I wish I could fly
I'd pick you up and we'd go back in time
I'd write this in the sky
I miss you like it was the very first night
[Verse 2]
And so it was
We never saw it comin'
Not trying to fall in love
But we did like children runnin'
Back then, we didn't know
We were built to fall apart
We broke the status quo
Then we broke each other's hearts
[Pre-Chorus]
But don't forget about the night out in L.A
Dance in the kitchen, chase me down through the hallway
No one knows about the words that we whispered
No one knows how much I miss you
[Chorus]
I wish I could fly
I'd pick you up and we'd go back in time
I'd write this in the sky
I miss you like it was the very first night
[Post-Chorus]
Take me away, take me away
Take me away to you, to you
Take me away, take me away
Take me away to you, to you
[Bridge]
I remember the night at the hotel
I was ridin' in the car when we both fell
I'm the one on the phone as you whisper
""Do you know how much I miss you?""
[Breakdown]
I wish that we could go back in time
And I'd say to you
""I miss you like it was the very first night""
[Chorus]
I wish I could fly
I'd pick you up and we'd go back in time
I'd write this in the sky
I miss you like it was the very first night
[Post-Chorus]
Take me away (Take me), take me away (Take me)
Take me away (Take me) to you, to you
Take me away (Take me), take me away (Take me)
Take me away (Take me) to you, to you"
This Love (Taylor’s Version),"[Verse 1]
Clear blue water
High tide came and brought you in
And I could go on and on, on and on, and I will
Skies grew darker
Currents swept you out again
And you were just gone and gone, gone and gone
[Pre-Chorus]
In silent screams, in wildest dreams
I never dreamed of this
[Chorus]
This love is good, this love is bad
This love is alive back from the dead (Oh-oh-oh)
These hands had to let it go free and
This love came back to me (Oh-oh-oh)
[Post-Chorus]
Oh-oh-oh
(Oh-oh-oh)
[Verse 2]
Tossing, turning
Struggled through the night with someone new
Baby, I could go on and on, on and on
Lantern, burning
Flickered in my mind for only you
But you were still gone, gone, gone
[Pre-Chorus]
In losin' grip, on sinking ships
You showed up just in time
[Chorus]
This love is good, this love is bad
This love is alive back from the dead (Oh-oh-oh)
These hands had to let it go free and
This love came back to me (Oh-oh-oh)
This love left a permanent mark
This love is glowing in the dark (Oh-oh-oh)
These hands had to let it go free and
This love came back to me, oh-oh-oh
[Post-Chorus]
(This love, this love, this love, this love) Oh-oh-oh
(This love, this love, this love, this love) Oh-oh-oh
(This love, this love, this love, this love) Oh-oh-oh
(This love, this love, this love, this love)
[Bridge]
Your kiss, my cheek, I watched you leave
Your smile, my ghost, I fell to my knees
When you're young, you just run
But you come back to what you need
[Chorus]
This love is good, this love is bad
This love is alive back from the dead (Oh-oh-oh)
These hands had to let it go free and
This love came back to me (Oh-oh-oh)
(This love) This love left a permanent mark
(This love) This love is glowing in the dark (Oh-oh-oh)
(This love) These hands had to let it go free and
(This love) This love came back to me, oh-oh-oh
[Post-Chorus]
(This love, this love, oh, this love, this love) Oh-oh-oh
(This love, this love, this love, this love) Oh-oh-oh
(This love, this love, this love, this love)
(This love, this love, this love, this love)
This love came back to me, oh-oh-oh"
Timeless (Taylor’s Version) (From The Vault),"[Verse 1]
Down the block, there's an antique shop
And something in my head said, ""Stop,"" so I walked in
On the counter was a cardboard box
And the sign said, ""Photos: twenty-five cents each""
Black and white, saw a 30s bride
And school lovers laughin' on the porch of their first house
The kinda love that you only find once in a lifetime
The kind you don't put down
[Pre-Chorus]
And that's when I called you and it's so hard to explain
But in those photos, I saw us instead
And, somehow, I know that you and I would've found each other
In another life, you still would've turned my head even if wе'd met
[Chorus]
On a crowded street in 1944
And you werе headed off to fight in the war
You still would've been mine
We would have been timeless
I would've read your love letters every single night
And prayed to God you'd be comin' home all right
And you would've been fine
We would have been timeless
'Cause I believe that we were supposed to find this
So, even in a different life, you still would've been mine
We would've been timeless
[Verse 2]
I had to smile when it caught my eye
There was one of a teenage couple in the driveway
Holdin' hands on the way to a dance
And the date on the back said 1958
Which brought me back to the first time I saw you
Time stood still like somethin' in this old shop
I thought about it as I started lookin' 'round
At these precious things that time forgot
[Pre-Chorus]
That's when I came upon a book covered in cobwebs
Story of a romance torn apart by fate
Hundreds of years ago, they fell in love, like we did
And I'd die for you in the same way if I first saw your face
[Chorus]
In the 1500s, off in a foreign land
And I was forced to marry another man
You still would've been mine
We would have been timeless
I would've read your love letters every single night
And run away and left it all behind
You still would've been mine
We would've been timeless
'Cause I believe that we were supposed to find this
So, even in a different life, you still would've been mine
We would've been timeless
[Bridge]
Time breaks down your mind and body
Don't you let it touch your soul
It was like an age-old classic
The first time that you saw me
The story started when you said, ""Hello""
[Chorus]
In a crowded room a few short years ago
And sometimes there's no proof, you just know
You're always gonna be mine
We're gonna be
I'm gonna love you when our hair is turnin' gray
We'll have a cardboard box of photos of the life we've made
And you'll say, ""Oh my, we really were timeless""
[Post-Chorus]
We're gonna be timeless, timeless
You still would've been mine
We would've been
Even if we'd met on a crowded street in 1944
You still would've been mine
We would've been
[Outro]
Down the block, there's an antique shop
And somethin' in my head said, ""Stop,"" so I walked in"
Treacherous (Taylor's Version),"[Verse 1]
Put your lips close to mine
As long as they don't touch
Out of focus, eye to eye
'Til the gravity's too much
And I'll do anything you say
If you say it with your hands
And I'd be smart to walk away
But you're quicksand
[Chorus]
This slope is treacherous
This path is reckless
This slope is treacherous
And I-I-I like it
[Verse 2]
I can't decide if it's a choice
Getting swept away
I hear the sound of my own voice
Asking you to stay
All we are is skin and bone
Trained to get along
Forever going with the flow
But you're friction
[Chorus]
This slope is treacherous
This path is reckless
This slope is treacherous
I-I-I like it
[Bridge]
Two headlights shine through the sleepless night
And I will get you a— get you alone
Your name has echoed through my mind
And I just think you should— think you should know
That nothing safe is worth the drive
And I would follow you, follow you home
I'll follow you, follow you home
[Chorus]
This hope is treacherous
This daydream is dangerous
This hope is treacherous
I-I-I, I-I-I, I-I-I—
[Bridge]
Two headlights shine through the sleepless night
And I will get you a— get you alone
Your name has echoed through my mind
And I just think you should— think you should know
That nothing safe is worth the drive
And I will follow you, follow you home
I'll follow you, follow you home
I'll follow you, follow you home
I'll follow you, follow you home
[Outro]
This slope is treacherous
I-I-I like it"
